,node_name,peak_value,parameter,roi
292,"v_roi33:C(type, Treatment('prototype'))[T.exception]",-0.5372461248204154,v,33
293,"v_roi33:C(type, Treatment('prototype'))[T.rule follower]",-0.5825196247276809,v,33
294,a_Intercept,1.7853997292990589,a,33
295,"a_C(type, Treatment('prototype'))[T.exception]",0.08707961460794905,a,33
296,"a_C(type, Treatment('prototype'))[T.rule follower]",0.02766873533505898,a,33
297,a_roi33,1.1043052573780217,a,33
298,"a_roi33:C(type, Treatment('prototype'))[T.exception]",0.0599751762438312,a,33
299,"a_roi33:C(type, Treatment('prototype'))[T.rule follower]",0.5484067276238813,a,33
300,t_Intercept,0.3523432616355197,t,33
301,"t_C(type, Treatment('prototype'))[T.exception]",0.009952208504390644,t,33
302,"t_C(type, Treatment('prototype'))[T.rule follower]",0.04174173914815223,t,33
303,t_roi33,-0.046227345178804,t,33
304,"t_roi33:C(type, Treatment('prototype'))[T.exception]",-0.06982595724883855,t,33
305,"t_roi33:C(type, Treatment('prototype'))[T.rule follower]",-0.03190521794090888,t,33
306,v_Intercept,0.052058157437197584,v,34
307,"v_C(type, Treatment('prototype'))[T.exception]",0.07380247329602138,v,34
308,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.04690998451690157,v,34
309,v_roi34,0.002497320586877905,v,34
310,"v_roi34:C(type, Treatment('prototype'))[T.exception]",-0.23149684848977306,v,34
311,"v_roi34:C(type, Treatment('prototype'))[T.rule follower]",-0.4052243176483019,v,34
312,a_Intercept,1.7316048113373677,a,34
313,"a_C(type, Treatment('prototype'))[T.exception]",0.1520154629743568,a,34
314,"a_C(type, Treatment('prototype'))[T.rule follower]",0.056556616276968785,a,34
315,a_roi34,-1.7394670547651008,a,34
316,"a_roi34:C(type, Treatment('prototype'))[T.exception]",1.3281815922566138,a,34
317,"a_roi34:C(type, Treatment('prototype'))[T.rule follower]",0.6873928530827431,a,34
318,t_Intercept,0.357359131392848,t,34
319,"t_C(type, Treatment('prototype'))[T.exception]",0.004067524751463936,t,34
320,"t_C(type, Treatment('prototype'))[T.rule follower]",0.02602858430326637,t,34
321,t_roi34,0.20162908487390285,t,34
322,"t_roi34:C(type, Treatment('prototype'))[T.exception]",-0.2884424764085812,t,34
323,"t_roi34:C(type, Treatment('prototype'))[T.rule follower]",-0.1977562973956969,t,34
324,v_Intercept,0.051737916658596866,v,35
325,"v_C(type, Treatment('prototype'))[T.exception]",0.13664735182205776,v,35
326,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.06175841487056182,v,35
327,v_roi35,-0.0232895521286417,v,35
328,"v_roi35:C(type, Treatment('prototype'))[T.exception]",-0.9277373598780044,v,35
329,"v_roi35:C(type, Treatment('prototype'))[T.rule follower]",0.0044097266711120575,v,35
330,a_Intercept,1.7839534480344754,a,35
331,"a_C(type, Treatment('prototype'))[T.exception]",0.06830133348104461,a,35
332,"a_C(type, Treatment('prototype'))[T.rule follower]",0.031789242159331293,a,35
333,a_roi35,0.5354420352708273,a,35
334,"a_roi35:C(type, Treatment('prototype'))[T.exception]",0.07682980297444275,a,35
335,"a_roi35:C(type, Treatment('prototype'))[T.rule follower]",0.510919000072338,a,35
336,t_Intercept,0.35398873264526065,t,35
337,"t_C(type, Treatment('prototype'))[T.exception]",0.004177700142027341,t,35
338,"t_C(type, Treatment('prototype'))[T.rule follower]",0.035072437926269656,t,35
339,t_roi35,-0.02366523760443566,t,35
340,"t_roi35:C(type, Treatment('prototype'))[T.exception]",0.034506856849446536,t,35
341,"t_roi35:C(type, Treatment('prototype'))[T.rule follower]",-0.058608583572454125,t,35
342,v_Intercept,0.07365404384002268,v,38
343,"v_C(type, Treatment('prototype'))[T.exception]",0.04442834703168577,v,38
344,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.09165430892133293,v,38
345,v_roi38,0.5891559486167933,v,38
346,"v_roi38:C(type, Treatment('prototype'))[T.exception]",-1.2916104692849235,v,38
347,"v_roi38:C(type, Treatment('prototype'))[T.rule follower]",-0.7835255828108967,v,38
348,a_Intercept,1.7287033653894617,a,38
349,"a_C(type, Treatment('prototype'))[T.exception]",0.07429239325909716,a,38
350,"a_C(type, Treatment('prototype'))[T.rule follower]",0.05507173520458036,a,38
351,a_roi38,-0.8976152238756759,a,38
352,"a_roi38:C(type, Treatment('prototype'))[T.exception]",0.0286393758376986,a,38
353,"a_roi38:C(type, Treatment('prototype'))[T.rule follower]",-0.008639289601994895,a,38
354,t_Intercept,0.3638400788125033,t,38
355,"t_C(type, Treatment('prototype'))[T.exception]",0.009695511910034676,t,38
356,"t_C(type, Treatment('prototype'))[T.rule follower]",0.019889925206559286,t,38
357,t_roi38,0.186981874250632,t,38
358,"t_roi38:C(type, Treatment('prototype'))[T.exception]",-0.06530686960363248,t,38
359,"t_roi38:C(type, Treatment('prototype'))[T.rule follower]",-0.1582934318037416,t,38
360,v_Intercept,0.0896482611109338,v,39
361,"v_C(type, Treatment('prototype'))[T.exception]",0.006867897941260748,v,39
362,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.02440052197516996,v,39
363,v_roi39,0.7153999382834944,v,39
364,"v_roi39:C(type, Treatment('prototype'))[T.exception]",-1.5173805150565902,v,39
365,"v_roi39:C(type, Treatment('prototype'))[T.rule follower]",0.438908203164224,v,39
366,a_Intercept,1.7276436420115944,a,39
367,"a_C(type, Treatment('prototype'))[T.exception]",0.0927798163489208,a,39
368,"a_C(type, Treatment('prototype'))[T.rule follower]",0.02547301766493616,a,39
369,a_roi39,-0.948315640368283,a,39
370,"a_roi39:C(type, Treatment('prototype'))[T.exception]",0.15919534698951845,a,39
371,"a_roi39:C(type, Treatment('prototype'))[T.rule follower]",-0.7143937324276761,a,39
372,t_Intercept,0.3573909333687613,t,39
373,"t_C(type, Treatment('prototype'))[T.exception]",0.015459072898774372,t,39
374,"t_C(type, Treatment('prototype'))[T.rule follower]",0.027214092253122584,t,39
375,t_roi39,0.0604754083413725,t,39
376,"t_roi39:C(type, Treatment('prototype'))[T.exception]",0.1022255772717667,t,39
377,"t_roi39:C(type, Treatment('prototype'))[T.rule follower]",0.06211029238970073,t,39
378,v_Intercept,0.0953253849612935,v,40
379,"v_C(type, Treatment('prototype'))[T.exception]",0.08825278309890505,v,40
380,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.04470066969681291,v,40
381,v_roi40,0.5201942121416654,v,40
382,"v_roi40:C(type, Treatment('prototype'))[T.exception]",-0.01087089125850027,v,40
383,"v_roi40:C(type, Treatment('prototype'))[T.rule follower]",-0.2061829334015808,v,40
384,a_Intercept,1.6714140940660682,a,40
385,"a_C(type, Treatment('prototype'))[T.exception]",0.1082254271006377,a,40
386,"a_C(type, Treatment('prototype'))[T.rule follower]",-0.012233439035433752,a,40
387,a_roi40,-1.4266475171579138,a,40
388,"a_roi40:C(type, Treatment('prototype'))[T.exception]",0.2693566304949482,a,40
389,"a_roi40:C(type, Treatment('prototype'))[T.rule follower]",-0.559271709717333,a,40
390,t_Intercept,0.3606748613688297,t,40
391,"t_C(type, Treatment('prototype'))[T.exception]",0.00964652147250819,t,40
392,"t_C(type, Treatment('prototype'))[T.rule follower]",0.04052501021153816,t,40
