,node_name,peak_value,parameter
1,"v_C(type, Treatment('prototype'))[T.exception]",0.13434728897715315,1
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.03101681644820237,2
3,v_roi29,0.00824210190089536,3
4,"v_roi29:C(type, Treatment('prototype'))[T.exception]",2.0342988258379298,4
5,"v_roi29:C(type, Treatment('prototype'))[T.rule follower]",1.313943102283197,5
6,a_Intercept,1.7489020383349307,6
7,"a_C(type, Treatment('prototype'))[T.exception]",0.09847423556581393,7
8,"a_C(type, Treatment('prototype'))[T.rule follower]",0.00905144080718398,8
9,a_roi29,-2.4173807009940864,9
10,"a_roi29:C(type, Treatment('prototype'))[T.exception]",1.4748791329093192,1
11,"a_roi29:C(type, Treatment('prototype'))[T.rule follower]",-1.8520117729325247,1
12,t_Intercept,0.35518126884532475,1
13,"t_C(type, Treatment('prototype'))[T.exception]",0.013582573997431985,1
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.03317422018072631,1
15,t_roi29,0.4944362685111306,1
16,"t_roi29:C(type, Treatment('prototype'))[T.exception]",-0.16718749829287582,1
17,"t_roi29:C(type, Treatment('prototype'))[T.rule follower]",-0.3244358347816674,1
0,v_Intercept,0.06935385917438874,0
1,"v_C(type, Treatment('prototype'))[T.exception]",0.12365306862388392,1
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.0620641236768478,2
3,v_roi31,-0.17767442474670914,3
4,"v_roi31:C(type, Treatment('prototype'))[T.exception]",-0.4823161829440532,4
5,"v_roi31:C(type, Treatment('prototype'))[T.rule follower]",0.1045232113709077,5
6,a_Intercept,1.747123437778458,6
7,"a_C(type, Treatment('prototype'))[T.exception]",0.10462618294517648,7
8,"a_C(type, Treatment('prototype'))[T.rule follower]",-0.0090061141297694,8
9,a_roi31,0.7999588974355849,9
10,"a_roi31:C(type, Treatment('prototype'))[T.exception]",-0.10414820333929577,1
11,"a_roi31:C(type, Treatment('prototype'))[T.rule follower]",0.5428002764255693,1
12,t_Intercept,0.3580674880553021,1
13,"t_C(type, Treatment('prototype'))[T.exception]",0.006416617754743045,1
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.03377540593965355,1
15,t_roi31,0.04550022658150893,1
16,"t_roi31:C(type, Treatment('prototype'))[T.exception]",0.006171251446715821,1
17,"t_roi31:C(type, Treatment('prototype'))[T.rule follower]",-0.1277844753840281,1
0,v_Intercept,0.03654321271143568,0
1,"v_C(type, Treatment('prototype'))[T.exception]",0.10507163524777402,1
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.055094468020549216,2
3,v_roi32,0.19314515459542314,3
4,"v_roi32:C(type, Treatment('prototype'))[T.exception]",-1.6019055668699635,4
5,"v_roi32:C(type, Treatment('prototype'))[T.rule follower]",-0.9714021247260098,5
6,a_Intercept,1.7812785619260023,6
7,"a_C(type, Treatment('prototype'))[T.exception]",0.09826239984757584,7
8,"a_C(type, Treatment('prototype'))[T.rule follower]",0.05509907013929377,8
9,a_roi32,0.15769436417945892,9
10,"a_roi32:C(type, Treatment('prototype'))[T.exception]",0.44630450238812136,1
11,"a_roi32:C(type, Treatment('prototype'))[T.rule follower]",0.9333555149877348,1
12,t_Intercept,0.35691495592013894,1
13,"t_C(type, Treatment('prototype'))[T.exception]",0.0097798623435641,1
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.032056062556666584,1
15,t_roi32,0.07931912455595946,1
16,"t_roi32:C(type, Treatment('prototype'))[T.exception]",-0.2519764812587544,1
17,"t_roi32:C(type, Treatment('prototype'))[T.rule follower]",-0.09170957177277116,1
0,v_Intercept,0.054087797910275286,0
1,"v_C(type, Treatment('prototype'))[T.exception]",0.10105331996432657,1
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.05236639772614904,2
3,v_roi33,-0.24461385994167276,3
